Feature,OR,CI_lo,CI_hi,P,Sig
const,0.30688051721323323,0.18964257724309053,0.49659550726493173,1.5060857711143723e-06,***
lead_log,0.8206357904171595,0.7314792021230595,0.9206592594279942,0.0007550331900870895,***
mercury_log,1.0253707538946457,0.9434365334054157,1.114420679838853,0.5554250516772521,ns
cadmium_log,0.8060340813293517,0.7162119092011057,0.9071211074794133,0.0003474364665580502,***
age,0.9931842388116494,0.9841172000567334,1.0023348155758374,0.14385037737679593,ns
bmi,1.0171575697680448,1.006848415794128,1.0275722795078452,0.0010635149076123748,**
education,1.0062769916571825,0.9381247227237021,1.0793803418789762,0.8611721111104109,ns
pregnant_now,0.7199470729175707,0.5354404236406016,0.968032604408828,0.029624927211186956,*
