Feature,OR,CI_lo,CI_hi,P,Sig
const,0.15518806064387738,0.11962045408125312,0.20133123846904122,1.0491326882717506e-44,***
lead_log,0.7968576814154258,0.7380191706224802,0.8603870870931364,6.5399849284732684e-09,***
mercury_log,0.9929721741714453,0.9520645779967625,1.0356374572336204,0.7424752800409301,ns
cadmium_log,0.9807272361503495,0.926357517203958,1.0382880193277864,0.5036348150140364,ns
age,1.0041996263270496,0.9991074161388442,1.0093177902857724,0.10615443043270402,ns
bmi,1.031116879785177,1.0256117296782423,1.0366515797469185,3.286026514274861e-29,***
education,1.0258798044844737,0.9813552911817685,1.0724244141810706,0.2590503978895451,ns
pregnant_now,0.7830618519003341,0.6486621450520574,0.9453085378558208,0.01091402898968063,*
