Feature,OR,CI_lo,CI_hi,P,Sig
const,0.13626993639904258,0.07463144381345652,0.24881597644840037,8.675120995222715e-11,***
lead_log,0.691360299195586,0.5822180311256799,0.8209623160925973,2.5485288527224086e-05,***
mercury_log,0.9556635459956406,0.8627357891111143,1.0586008192449476,0.38490968929504543,ns
cadmium_log,1.0908222964616314,0.9603664439948381,1.2389992277408464,0.18099270439971438,ns
age,1.0036973533245444,0.9923656892954213,1.0151584118007486,0.5240752948076669,ns
bmi,1.021752222325902,1.0116316318966005,1.0319740614186577,2.265260869608408e-05,***
education,1.1747305661001832,1.0354525409257018,1.3327427848082105,0.012381751899557944,*
pregnant_now,0.6308965759825217,0.42830625618487517,0.9293128079237369,0.01975366082027349,*
