Feature,XGBoost,RandomForest
pregnant_now,0.16992715,0.04601638934583342
race_Other / Multiracial,0.14832044,0.04219529018856575
lead_log,0.10146177,0.24426298367720412
age,0.09749556,0.18746475120349396
bmi,0.092896804,0.2568629764210095
mercury_log,0.086074516,0.13166847897061762
race_Non-Hispanic White,0.08474553,0.019159386717880138
education,0.078401946,0.04473958047875081
race_Hispanic,0.07304713,0.016316714164870516
race_Non-Hispanic Black,0.06762911,0.01131344883177425
