Feature,OR,CI_lo,CI_hi,P,Sig
const,0.12175630848967557,0.07896298065158869,0.18774112292498402,1.5608535560158399e-21,***
lead_log,0.8085902400768232,0.7075784250407116,0.9240222047610854,0.0018047063717203718,**
mercury_log,0.9900007131185704,0.9241283380324533,1.060568507250839,0.7748247277407868,ns
cadmium_log,1.0210421359475554,0.9317815355090779,1.118853511956279,0.6554845774605069,ns
age,1.0057569759565967,0.9973916399082664,1.01419247385951,0.17794724221161207,ns
bmi,1.0399766806976933,1.0306562257655443,1.0493814225899079,1.412856133650318e-17,***
education,1.0102934468081026,0.9349736029007203,1.0916809260675764,0.795582724516474,ns
pregnant_now,0.863219220600764,0.6171463151580698,1.207408040058921,0.3902722762234876,ns
