Feature,XGBoost_Gain,RandomForest
pregnant_now,0.14229837,0.033307394225834216
race_Other / Multiracial,0.12466528,0.026873105056984474
cadmium_log,0.10748998,0.1782181702972524
age,0.10669858,0.1498718304923199
lead_log,0.09741179,0.19486690953633057
bmi,0.09410217,0.21180120832109806
race_Non-Hispanic White,0.08812315,0.019813716322719874
mercury_log,0.081911296,0.13094439461642438
education,0.080216624,0.040929228586845494
race_Non-Hispanic Black,0.077082716,0.013374042544190556
